"lat","long","x","y","FID"
-8.281667,-70.063333,-70.063333,-8.281667,0
-8.284722,-70.077222,-70.077222,-8.284722,0
-8.295556,-70.085833,-70.085833,-8.295556,0
-6.623611,-51.006111,-51.006111,-6.623611,0
-11.919167,-64.234722,-64.234722,-11.919167,0
-3.061099,-59.80428,-59.80428,-3.061099,0
-12.266944,-63.3975,-63.3975,-12.266944,0
-3.05,-54.927778,-54.927778,-3.05,0
-0.08,-52.536111,-52.536111,-0.08,0
-9.758889,-62.063333,-62.063333,-9.758889,0
-9.131389,-68.951389,-68.951389,-9.131389,0
-9.20185,-69.583333,-69.583333,-9.20185,0
-15.65,-57.225,-57.225,-15.65,0
-12.431389,-64.419167,-64.419167,-12.431389,0
-3.154839,-60.658681,-60.658681,-3.154839,0
-9.772778,-62.033889,-62.033889,-9.772778,0
-9.772778,-62.030833,-62.030833,-9.772778,0
-9.7475,-62.100278,-62.100278,-9.7475,0
-9.745556,-62.082222,-62.082222,-9.745556,0
-9.195556,-63.111944,-63.111944,-9.195556,0
-9.113889,-62.1825,-62.1825,-9.113889,0
-9.096111,-62.158889,-62.158889,-9.096111,0
-9.745555,-62.082222,-62.082222,-9.745555,0
-9.195555,-63.111944,-63.111944,-9.195555,0
-10.790278,-63.662222,-63.662222,-10.790278,0
-8.958056,-62.251944,-62.251944,-8.958056,0
-10.054444,-59.504722,-59.504722,-10.054444,0
-10.600556,-49.192778,-49.192778,-10.600556,0
-11.448889,-48.120556,-48.120556,-11.448889,0
-9,-56,-56,-9,0
-10.26,-67.86,-67.86,-10.26,0
-12.291389,-63.999167,-63.999167,-12.291389,0
-9.851667,-56.935833,-56.935833,-9.851667,0
-9.64,-56.420278,-56.420278,-9.64,0
-12.931389,-46.938056,-46.938056,-12.931389,0
-14.694056,-56.33975,-56.33975,-14.694056,0
-14.698888,-56.845555,-56.845555,-14.698888,0
-14.694167,-56.339722,-56.339722,-14.694167,0
-14.698889,-56.845556,-56.845556,-14.698889,0
-9.319444,-56.993056,-56.993056,-9.319444,0
-9.131111,-68.951111,-68.951111,-9.131111,0
-7.266083,-47.041861,-47.041861,-7.266083,0
-9.2425,-57.036389,-57.036389,-9.2425,0
