"lat","long","x","y","Species","Scientific_name","Genus","Code","Cod.Lab","Family","Point","Site","State","UC","FID"
-9.31323800256563,-62.9742019978888,-62.9742019978888,-9.31323800256563,"Cedro Rosa","Cedrela fissilis","Cedrela","mad649",NA,"Meliaceae",0,"Itapuã do Oeste","Rondônia","FLORESTA NACIONAL DO JAMARI",0
-9.31534599620293,-62.9804510036135,-62.9804510036135,-9.31534599620293,"Cedro Rosa","Cedrela fissilis","Cedrela","mad650",NA,"Meliaceae",0,"Itapuã do Oeste","Rondônia","FLORESTA NACIONAL DO JAMARI",0
-9.30410200358358,-63.0311110042083,-63.0311110042083,-9.30410200358358,"Cedro Rosa","Cedrela fissilis","Cedrela","mad651",NA,"Meliaceae",0,"Itapuã do Oeste","Rondônia","FLORESTA NACIONAL DO JAMARI",0
-9.30936999683547,-62.9780809995063,-62.9780809995063,-9.30936999683547,"Cedro Rosa","Cedrela fissilis","Cedrela","mad652",NA,"Meliaceae",0,"Itapuã do Oeste","Rondônia","FLORESTA NACIONAL DO JAMARI",0
-9.30615800419707,-63.0017099979781,-63.0017099979781,-9.30615800419707,"Cedro Rosa","Cedrela fissilis","Cedrela","mad653",NA,"Meliaceae",0,"Itapuã do Oeste","Rondônia","FLORESTA NACIONAL DO JAMARI",0
-8.640529522,-70.14946298,-70.14946298,-8.640529522,"Cedro Rosa","Cedrela fissilis","Cedrela","mad655",NA,"Meliaceae",0,"Feijó","Acre",NA,0
-8.645667512,-70.14574198,-70.14574198,-8.645667512,"Cedro Rosa","Cedrela fissilis","Cedrela","mad658",NA,"Meliaceae",0,"Feijó","Acre",NA,0
-8.640549518,-70.14790298,-70.14790298,-8.640549518,"Cedro Rosa","Cedrela fissilis","Cedrela","mad659",NA,"Meliaceae",0,"Feijó","Acre",NA,0
-8.633355525,-70.13932301,-70.13932301,-8.633355525,"Cedro Rosa","Cedrela fissilis","Cedrela","mad660",NA,"Meliaceae",0,"Feijó","Acre",NA,0
-8.633667528,-70.13915202,-70.13915202,-8.633667528,"Cedro Rosa","Cedrela fissilis","Cedrela","mad661",NA,"Meliaceae",0,"Feijó","Acre",NA,0
-5.99754332741423,-55.2618048451389,-55.2618048451389,-5.99754332741423,"Cedro","Cedrela spp.","Cedrela","mad726",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-5.97672702114864,-55.2671811518219,-55.2671811518219,-5.97672702114864,"Cedro","Cedrela spp.","Cedrela","mad727",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-5.97242192569736,-55.2668695617468,-55.2668695617468,-5.97242192569736,"Cedro","Cedrela spp.","Cedrela","mad728",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-5.9760236970647,-55.2678065350554,-55.2678065350554,-5.9760236970647,"Cedro","Cedrela spp.","Cedrela","mad729",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-6.00039671563433,-55.280591137476,-55.280591137476,-6.00039671563433,"Cedro","Cedrela spp.","Cedrela","mad730",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-6.00595052727807,-55.2611549968007,-55.2611549968007,-6.00595052727807,"Cedro","Cedrela spp.","Cedrela","mad731",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-5.97333103718627,-55.2684201057826,-55.2684201057826,-5.97333103718627,"Cedro","Cedrela spp.","Cedrela","mad732",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-5.99893586685053,-55.2847503918196,-55.2847503918196,-5.99893586685053,"Cedro","Cedrela spp.","Cedrela","mad733",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-5.98089575501063,-55.2586874384469,-55.2586874384469,-5.98089575501063,"Cedro","Cedrela spp.","Cedrela","mad734",NA,"Meliaceae",0,"Itaituba","Pará","FLORESTA NACIONAL ALTAMIRA",0
-0.990665995898319,-54.1829020004038,-54.1829020004038,-0.990665995898319,"Cedro","Cedrela spp.","Cedrela","mad736",NA,"Meliaceae",0,"Monte Alegre","Pará","FLORESTA ESTADUAL DO PARU",0
-1.00441699940039,-54.1850360003013,-54.1850360003013,-1.00441699940039,"Cedro","Cedrela spp.","Cedrela","mad737",NA,"Meliaceae",0,"Monte Alegre","Pará","FLORESTA ESTADUAL DO PARU",0
-0.984065996796339,-54.2115430010074,-54.2115430010074,-0.984065996796339,"Cedro","Cedrela spp.","Cedrela","mad738",NA,"Meliaceae",0,"Monte Alegre","Pará","FLORESTA ESTADUAL DO PARU",0
-8.50381900427673,-69.0713800027169,-69.0713800027169,-8.50381900427673,"Cedro","Cedrela spp.","Cedrela","mad747",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-8.50545996210769,-69.0224597312839,-69.0224597312839,-8.50545996210769,"Cedro","Cedrela spp.","Cedrela","mad748",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-8.47347484638967,-69.1235877098779,-69.1235877098779,-8.47347484638967,"Cedro","Cedrela spp.","Cedrela","mad749",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-8.49073500351144,-69.0333759998312,-69.0333759998312,-8.49073500351144,"Cedro","Cedrela spp.","Cedrela","mad750",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-8.4861140041756,-69.0582550025538,-69.0582550025538,-8.4861140041756,"Cedro","Cedrela spp.","Cedrela","mad751",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-8.47790999833184,-69.0543500024545,-69.0543500024545,-8.47790999833184,"Cedro","Cedrela spp.","Cedrela","mad752",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-8.49348190997014,-69.0956100825722,-69.0956100825722,-8.49348190997014,"Cedro","Cedrela spp.","Cedrela","mad753",NA,"Meliaceae",0,"Pauini","Amazonas",NA,0
-3.26659924568101,-51.8477811563242,-51.8477811563242,-3.26659924568101,"Cedro","Cedrela spp.","Cedrela","mad754",NA,"Meliaceae",0,"Vitória do Xingu","Pará",NA,0
-3.25975657565603,-51.8523475352533,-51.8523475352533,-3.25975657565603,"Cedro","Cedrela spp.","Cedrela","mad755",NA,"Meliaceae",0,"Vitória do Xingu","Pará",NA,0
-3.31199160442288,-52.0548025432839,-52.0548025432839,-3.31199160442288,"Cedro","Cedrela spp.","Cedrela","mad761",NA,"Meliaceae",0,"Altamira","Pará",NA,0
-3.32671497520418,-51.7875440386948,-51.7875440386948,-3.32671497520418,"Cedro","Cedrela spp.","Cedrela","mad762",NA,"Meliaceae",0,"Vitória do Xingu","Pará",NA,0
-3.29049530170839,-51.8519235056338,-51.8519235056338,-3.29049530170839,"Cedro","Cedrela spp.","Cedrela","mad763",NA,"Meliaceae",0,"Vitória do Xingu","Pará",NA,0
-0.99365200159774,-53.2631180019812,-53.2631180019812,-0.99365200159774,"Cedro","Cedrela spp.","Cedrela","mad764",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.961717996101761,-53.3285880042429,-53.3285880042429,-0.961717996101761,"Cedro","Cedrela spp.","Cedrela","mad765",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.998599004267091,-53.2684510021617,-53.2684510021617,-0.998599004267091,"Cedro","Cedrela spp.","Cedrela","mad766",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.978458705038871,-53.3279245543175,-53.3279245543175,-0.978458705038871,"Cedro","Cedrela spp.","Cedrela","mad767",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.968390000883807,-53.3261520041232,-53.3261520041232,-0.968390000883807,"Cedro","Cedrela spp.","Cedrela","mad768",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.968971002551427,-53.3252809973595,-53.3252809973595,-0.968971002551427,"Cedro","Cedrela spp.","Cedrela","mad770",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.996333002971555,-53.2653799975314,-53.2653799975314,-0.996333002971555,"Cedro","Cedrela spp.","Cedrela","mad771",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.968616998184419,-53.3235229954795,-53.3235229954795,-0.968616998184419,"Cedro","Cedrela spp.","Cedrela","mad772",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-0.968510004277252,-53.3230760035516,-53.3230760035516,-0.968510004277252,"Cedro","Cedrela spp.","Cedrela","mad773",NA,"Meliaceae",0,"Almeirim","Pará","FLORESTA ESTADUAL DO PARU",0
-9.8587,-62.7538,-62.7538,-9.8587,"Cedro","Cedrela spp.","Cedrela","MAD808","ZMG 0166","Meliaceae",0,"Ariquemes","Rondônia",NA,0
-11.8483333333333,-61.2816666666667,-61.2816666666667,-11.8483333333333,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1048","ZMG 0363","Meliaceae",75,"Primavera de Rondônia","Rondônia",NA,0
-11.6052777777778,-61.1155555555556,-61.1155555555556,-11.6052777777778,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1050","ZMG 0365","Meliaceae",75,"Pimenta Bueno","Rondônia",NA,0
-11.4166666666667,-61.76,-61.76,-11.4166666666667,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1065","ZMG 0380","Meliaceae",75,"Castanheiras","Rondônia",NA,0
-10.8566666666667,-61.9505555555556,-61.9505555555556,-10.8566666666667,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1071","ZMG 0386","Meliaceae",75,"Ji-Paraná","Rondônia",NA,0
-10.0967777777778,-63.8465277777778,-63.8465277777778,-10.0967777777778,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1099","ZMG 0414","Meliaceae",75,"Buritis","Rondônia",NA,0
1.58972222222222,-61.0722222222222,-61.0722222222222,1.58972222222222,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1190","ZMF1392","Meliaceae",75,"Caracaraí","Roraima","PARQUE NACIONAL VIRUÁ",0
-5.804694444,-50.559833333,-50.559833333,-5.804694444,"Cedro Rosa","Cedrela fissilis","Cedrela","MAD1218","ZMF1462","Meliaceae",75,"Parauapebas","Pará","FLORESTA NACIONAL DE CARAJÁS",0
