"lat","long","x","y","FID"
-6.725155,-43.013278,-43.013278,-6.725155,0
-2.592225,-60.912677,-60.912677,-2.592225,0
-9,-59.153425,-59.153425,-9,0
-8.2925,-70.073611,-70.073611,-8.2925,0
-8.276667,-70.041944,-70.041944,-8.276667,0
-8.269167,-70.059444,-70.059444,-8.269167,0
-8.269722,-70.063889,-70.063889,-8.269722,0
-6.356667,-50.631944,-50.631944,-6.356667,0
-2.501899,-54.95575,-54.95575,-2.501899,0
-2.496345,-54.95503,-54.95503,-2.496345,0
-1.905085,-61.43022,-61.43022,-1.905085,0
-8.991389,-59.426667,-59.426667,-8.991389,0
-16.382188,-56.607267,-56.607267,-16.382188,0
-14.490205,-55.705678,-55.705678,-14.490205,0
-13.339394,-47.731854,-47.731854,-13.339394,0
-9.864911,-63.03549,-63.03549,-9.864911,0
-14.685283,-52.325792,-52.325792,-14.685283,0
-15.57905,-56.114049,-56.114049,-15.57905,0
-15.365257,-55.77924,-55.77924,-15.365257,0
-16.371667,-54.746389,-54.746389,-16.371667,0
-14.484733,-55.710095,-55.710095,-14.484733,0
-1.841294,-55.129728,-55.129728,-1.841294,0
-11.7831,-49.00621,-49.00621,-11.7831,0
-16.619605,-56.735436,-56.735436,-16.619605,0
-16.499456,-56.681817,-56.681817,-16.499456,0
-1.609722,-56.271111,-56.271111,-1.609722,0
-1.698889,-56.6125,-56.6125,-1.698889,0
-1.714722,-56.636944,-56.636944,-1.714722,0
-1.603056,-56.265278,-56.265278,-1.603056,0
-1.719722,-56.624167,-56.624167,-1.719722,0
-1.703611,-56.605,-56.605,-1.703611,0
-16.37997,-56.62405,-56.62405,-16.37997,0
-3.64768,-59.87266,-59.87266,-3.64768,0
-17.437531,-56.824645,-56.824645,-17.437531,0
-16.516437,-56.749037,-56.749037,-16.516437,0
-16.507911,-56.748806,-56.748806,-16.507911,0
-3.566668,-46.028527,-46.028527,-3.566668,0
-16.4829,-56.693348,-56.693348,-16.4829,0
-7.209269,-48.218336,-48.218336,-7.209269,0
1.085278,-51.975278,-51.975278,1.085278,0
1.064167,-51.951944,-51.951944,1.064167,0
1.070556,-51.937222,-51.937222,1.070556,0
1.041111,-51.938055,-51.938055,1.041111,0
1.089722,-51.941389,-51.941389,1.089722,0
1.229167,-51.920556,-51.920556,1.229167,0
-2.706842,-44.854338,-44.854338,-2.706842,0
-9.104167,-60.691111,-60.691111,-9.104167,0
-9.974025,-67.809819,-67.809819,-9.974025,0
-8.938611,-59.4625,-59.4625,-8.938611,0
-15.229225,-59.311418,-59.311418,-15.229225,0
-15.589515,-56.054495,-56.054495,-15.589515,0
-2.498111,-44.268056,-44.268056,-2.498111,0
-9.2125,-63.02,-63.02,-9.2125,0
-3.059602,-60.043495,-60.043495,-3.059602,0
-2.022522,-61.544114,-61.544114,-2.022522,0
-16.749361,-56.865023,-56.865023,-16.749361,0
-15.607833,-56.062944,-56.062944,-15.607833,0
-16.512341,-56.711526,-56.711526,-16.512341,0
-16.501948,-56.744172,-56.744172,-16.501948,0
-0.007627,-51.083245,-51.083245,-0.007627,0
-8.764976,-67.427303,-67.427303,-8.764976,0
-16.457823,-56.6762,-56.6762,-16.457823,0
-11.815833,-60.944444,-60.944444,-11.815833,0
-11.755833,-61.048056,-61.048056,-11.755833,0
-9.978458,-67.841678,-67.841678,-9.978458,0
-1.228515,-48.294914,-48.294914,-1.228515,0
-3.275556,-45.646667,-45.646667,-3.275556,0
1.2325,-52.382222,-52.382222,1.2325,0
1.195278,-52.376944,-52.376944,1.195278,0
-2.499728,-54.951717,-54.951717,-2.499728,0
-0.511944,-52.855833,-52.855833,-0.511944,0
-2.571434,-60.888603,-60.888603,-2.571434,0
-2.569443,-60.890378,-60.890378,-2.569443,0
-2.447977,-61.03576,-61.03576,-2.447977,0
-15.556111,-55.81,-55.81,-15.556111,0
-16.462621,-56.400184,-56.400184,-16.462621,0
-15.358973,-55.786531,-55.786531,-15.358973,0
-7.986944,-49.428889,-49.428889,-7.986944,0
-16.428027,-56.670532,-56.670532,-16.428027,0
-16.376752,-56.621751,-56.621751,-16.376752,0
-16.485563,-56.690919,-56.690919,-16.485563,0
-16.493692,-56.684118,-56.684118,-16.493692,0
-6.061619,-50.060669,-50.060669,-6.061619,0
-16.378916,-56.617897,-56.617897,-16.378916,0
-15.774728,-57.260714,-57.260714,-15.774728,0
-15.405121,-55.82949,-55.82949,-15.405121,0
-8.665833,-61.817778,-61.817778,-8.665833,0
-9.597495,-55.932102,-55.932102,-9.597495,0
-17.2825,-56.709167,-56.709167,-17.2825,0
-2.015952,-54.178182,-54.178182,-2.015952,0
-11.845298,-55.516441,-55.516441,-11.845298,0
-4.484341,-46.846656,-46.846656,-4.484341,0
-2.5724,-60.786935,-60.786935,-2.5724,0
-3.156976,-60.110976,-60.110976,-3.156976,0
-3.907928,-52.591908,-52.591908,-3.907928,0
-5.804444,-52.611667,-52.611667,-5.804444,0
-9.117778,-62.93,-62.93,-9.117778,0
-10.603536,-68.461908,-68.461908,-10.603536,0
-9.598517,-55.933011,-55.933011,-9.598517,0
-16.529911,-56.691653,-56.691653,-16.529911,0
-4.748392,-45.165248,-45.165248,-4.748392,0
-16.835967,-56.842103,-56.842103,-16.835967,0
-8.754444,-63.861944,-63.861944,-8.754444,0
-13.538943,-56.627758,-56.627758,-13.538943,0
-16.833949,-56.842872,-56.842872,-16.833949,0
-3.462194,-44.775389,-44.775389,-3.462194,0
-17.318797,-56.736423,-56.736423,-17.318797,0
-17.212914,-55.161613,-55.161613,-17.212914,0
-9.120556,-62.136944,-62.136944,-9.120556,0
-9.770556,-62.133889,-62.133889,-9.770556,0
-9.769167,-62.131111,-62.131111,-9.769167,0
-9.771667,-62.015278,-62.015278,-9.771667,0
-9.773056,-62.028333,-62.028333,-9.773056,0
-9.748056,-62.085833,-62.085833,-9.748056,0
-9.162778,-62.925,-62.925,-9.162778,0
-9.202222,-63.011111,-63.011111,-9.202222,0
-9.148889,-63.105278,-63.105278,-9.148889,0
-9.144444,-63.108056,-63.108056,-9.144444,0
-9.136389,-63.101389,-63.101389,-9.136389,0
-8.84,-62.222778,-62.222778,-8.84,0
-9.0775,-62.171389,-62.171389,-9.0775,0
-9.081389,-62.1725,-62.1725,-9.081389,0
-9.096667,-62.173611,-62.173611,-9.096667,0
-8.632222,-62.949722,-62.949722,-8.632222,0
-8.635556,-62.928056,-62.928056,-8.635556,0
-8.635555,-62.928056,-62.928056,-8.635555,0
-8.635833,-62.942222,-62.942222,-8.635833,0
-9.748055,-62.085833,-62.085833,-9.748055,0
-9.952231,-62.994889,-62.994889,-9.952231,0
-8.728611,-46.713333,-46.713333,-8.728611,0
-15.67237,-55.701489,-55.701489,-15.67237,0
-2.418473,-54.716412,-54.716412,-2.418473,0
-15.095154,-56.133498,-56.133498,-15.095154,0
-10.790278,-63.662222,-63.662222,-10.790278,0
-7.773697,-72.397383,-72.397383,-7.773697,0
-17.0815,-57.941889,-57.941889,-17.0815,0
-15.655556,-56.438889,-56.438889,-15.655556,0
-6.755522,-43.007342,-43.007342,-6.755522,0
-16.148333,-53.824167,-53.824167,-16.148333,0
-15.658056,-56.422222,-56.422222,-15.658056,0
-9.122222,-57.846944,-57.846944,-9.122222,0
1.063889,-61.421111,-61.421111,1.063889,0
-10.187222,-48.178611,-48.178611,-10.187222,0
-5.319667,-48.009167,-48.009167,-5.319667,0
-9.205833,-63.023333,-63.023333,-9.205833,0
-9.208889,-63.002222,-63.002222,-9.208889,0
-9.153333,-62.910278,-62.910278,-9.153333,0
-9.203889,-63.022222,-63.022222,-9.203889,0
-9.203889,-63.007778,-63.007778,-9.203889,0
-9.146111,-62.908056,-62.908056,-9.146111,0
-9.202778,-63.014167,-63.014167,-9.202778,0
-9.145833,-62.908333,-62.908333,-9.145833,0
-9.206111,-63.021667,-63.021667,-9.206111,0
-9.147222,-62.91,-62.91,-9.147222,0
-11.531667,-56.710833,-56.710833,-11.531667,0
-16.403333,-54.715278,-54.715278,-16.403333,0
-16.327697,-54.584118,-54.584118,-16.327697,0
-9.9521,-67.875393,-67.875393,-9.9521,0
-4.746562,-45.156208,-45.156208,-4.746562,0
-15.592159,-56.054817,-56.054817,-15.592159,0
-9.159722,-62.912222,-62.912222,-9.159722,0
-9.160833,-62.928333,-62.928333,-9.160833,0
-9.159167,-62.909722,-62.909722,-9.159167,0
-9.111944,-62.895,-62.895,-9.111944,0
-9.156111,-62.91,-62.91,-9.156111,0
-9.118056,-62.9,-62.9,-9.118056,0
-9.154722,-62.912778,-62.912778,-9.154722,0
-7.335956,-60.485647,-60.485647,-7.335956,0
-10.834167,-61.980833,-61.980833,-10.834167,0
-2.947973,-44.294711,-44.294711,-2.947973,0
-3.389167,-54.950556,-54.950556,-3.389167,0
-2.509225,-54.96198,-54.96198,-2.509225,0
-10.185556,-48.330833,-48.330833,-10.185556,0
-3.198611,-52.210278,-52.210278,-3.198611,0
-3.067402,-59.850897,-59.850897,-3.067402,0
-10.00225,-57.841747,-57.841747,-10.00225,0
-10.010562,-57.84161,-57.84161,-10.010562,0
-10.001658,-57.842938,-57.842938,-10.001658,0
-10.00141,-57.839446,-57.839446,-10.00141,0
-9.957595,-67.862496,-67.862496,-9.957595,0
-10.003333,-57.842222,-57.842222,-10.003333,0
