"lat","long","x","y"
-3.9923,-54.908,-54.908,-3.9923
0.90361,-60.43406,-60.43406,0.90361
-9.17198990988674,-63.0075094496542,-63.0075094496542,-9.17198990988674
-8.631717532,-70.145276,-70.145276,-8.631717532
-8.650403507,-70.15039396,-70.15039396,-8.650403507
-8.646363505,-70.14531998,-70.14531998,-8.646363505
-8.653700485,-70.137275,-70.137275,-8.653700485
-8.632501533,-70.14158401,-70.14158401,-8.632501533
-8.649269519,-70.15778494,-70.15778494,-8.649269519
-2.97351,-53.871,-53.871,-2.97351
-9.8519,-62.7478,-62.7478,-9.8519
-8.48444667333509,-69.035678855051,-69.035678855051,-8.48444667333509
-8.50166000348855,-69.0311099960022,-69.0311099960022,-8.50166000348855
-8.49078399570606,-69.0897999966278,-69.0897999966278,-8.49078399570606
-8.48659599846423,-69.0284140010811,-69.0284140010811,-8.48659599846423
-8.48064100142757,-69.0238260003551,-69.0238260003551,-8.48064100142757
-8.47590899998488,-69.0225409987293,-69.0225409987293,-8.47590899998488
-9.36474399906685,-63.0831990036809,-63.0831990036809,-9.36474399906685
-9.36707899825648,-63.0819770026707,-63.0819770026707,-9.36707899825648
-9.36665000074347,-63.0818899995576,-63.0818899995576,-9.36665000074347
-9.38509999983732,-63.0829449979383,-63.0829449979383,-9.38509999983732
1.099,-51.9096111111111,-51.9096111111111,1.099
1.09986111111111,-51.9085277777778,-51.9085277777778,1.09986111111111
1.09875,-51.9105,-51.9105,1.09875
1.09927777777778,-51.9082777777778,-51.9082777777778,1.09927777777778
1.09616666666667,-51.93705,-51.93705,1.09616666666667
1.07694444444444,-51.9651111111111,-51.9651111111111,1.07694444444444
1.07741666666667,-51.9651111111111,-51.9651111111111,1.07741666666667
1.07805555555556,-51.9651111111111,-51.9651111111111,1.07805555555556
-9.09222222222222,-65.7636111111111,-65.7636111111111,-9.09222222222222
-11.8175,-61.2588888888889,-61.2588888888889,-11.8175
-11.5294444444444,-61.0127777777778,-61.0127777777778,-11.5294444444444
-11.5522222222222,-60.9847222222222,-60.9847222222222,-11.5522222222222
-11.5858333333333,-61.7763888888889,-61.7763888888889,-11.5858333333333
-11.4169444444444,-61.7597222222222,-61.7597222222222,-11.4169444444444
-11.3713888888889,-61.3327777777778,-61.3327777777778,-11.3713888888889
-10.8566666666667,-61.9502777777778,-61.9502777777778,-10.8566666666667
-10.0734444444444,-63.2121666666667,-63.2121666666667,-10.0734444444444
-10.0986111111111,-63.8463888888889,-63.8463888888889,-10.0986111111111
-10.9977777777778,-62.0258333333333,-62.0258333333333,-10.9977777777778
-11.0136111111,-62.3683333333,-62.3683333333,-11.0136111111
-5.804694444,-50.559833333,-50.559833333,-5.804694444
-6.725155,-43.013278,-43.013278,-6.725155
-2.592225,-60.912677,-60.912677,-2.592225
-9,-59.153425,-59.153425,-9
-8.2925,-70.073611,-70.073611,-8.2925
-8.276667,-70.041944,-70.041944,-8.276667
-8.269167,-70.059444,-70.059444,-8.269167
-8.269722,-70.063889,-70.063889,-8.269722
-6.356667,-50.631944,-50.631944,-6.356667
-2.501899,-54.95575,-54.95575,-2.501899
-2.496345,-54.95503,-54.95503,-2.496345
-1.905085,-61.43022,-61.43022,-1.905085
-8.991389,-59.426667,-59.426667,-8.991389
-16.382188,-56.607267,-56.607267,-16.382188
-14.490205,-55.705678,-55.705678,-14.490205
-13.339394,-47.731854,-47.731854,-13.339394
-9.864911,-63.03549,-63.03549,-9.864911
-14.685283,-52.325792,-52.325792,-14.685283
-15.57905,-56.114049,-56.114049,-15.57905
-15.365257,-55.77924,-55.77924,-15.365257
-16.371667,-54.746389,-54.746389,-16.371667
-14.484733,-55.710095,-55.710095,-14.484733
-1.841294,-55.129728,-55.129728,-1.841294
-11.7831,-49.00621,-49.00621,-11.7831
-16.619605,-56.735436,-56.735436,-16.619605
-16.499456,-56.681817,-56.681817,-16.499456
-1.609722,-56.271111,-56.271111,-1.609722
-1.698889,-56.6125,-56.6125,-1.698889
-1.714722,-56.636944,-56.636944,-1.714722
-1.603056,-56.265278,-56.265278,-1.603056
-1.719722,-56.624167,-56.624167,-1.719722
-1.703611,-56.605,-56.605,-1.703611
-16.37997,-56.62405,-56.62405,-16.37997
-3.64768,-59.87266,-59.87266,-3.64768
-17.437531,-56.824645,-56.824645,-17.437531
-16.516437,-56.749037,-56.749037,-16.516437
-16.507911,-56.748806,-56.748806,-16.507911
-3.566668,-46.028527,-46.028527,-3.566668
-16.4829,-56.693348,-56.693348,-16.4829
-7.209269,-48.218336,-48.218336,-7.209269
1.085278,-51.975278,-51.975278,1.085278
1.064167,-51.951944,-51.951944,1.064167
1.070556,-51.937222,-51.937222,1.070556
1.041111,-51.938055,-51.938055,1.041111
1.089722,-51.941389,-51.941389,1.089722
1.229167,-51.920556,-51.920556,1.229167
-2.706842,-44.854338,-44.854338,-2.706842
-9.104167,-60.691111,-60.691111,-9.104167
-9.974025,-67.809819,-67.809819,-9.974025
-8.938611,-59.4625,-59.4625,-8.938611
-15.229225,-59.311418,-59.311418,-15.229225
-15.589515,-56.054495,-56.054495,-15.589515
-2.498111,-44.268056,-44.268056,-2.498111
-9.2125,-63.02,-63.02,-9.2125
-3.059602,-60.043495,-60.043495,-3.059602
-2.022522,-61.544114,-61.544114,-2.022522
-16.749361,-56.865023,-56.865023,-16.749361
-15.607833,-56.062944,-56.062944,-15.607833
-16.512341,-56.711526,-56.711526,-16.512341
-16.501948,-56.744172,-56.744172,-16.501948
-0.007627,-51.083245,-51.083245,-0.007627
-8.764976,-67.427303,-67.427303,-8.764976
-16.457823,-56.6762,-56.6762,-16.457823
-11.815833,-60.944444,-60.944444,-11.815833
-11.755833,-61.048056,-61.048056,-11.755833
-9.978458,-67.841678,-67.841678,-9.978458
-1.228515,-48.294914,-48.294914,-1.228515
