"lat","long","x","y","Species","Scientific_name","Genus","Code","Cod.Lab","Family","Point","Site","State","UC","FID"
-3.9923,-54.908,-54.908,-3.9923,"Ipê Roxo","Handroanthus spp","Handroanthus","mad100","ZAC 1300","Bignoniaceae",0,"Rurópolis","Pará","FLORESTA NACIONAL DE TAPAJÓS",0
0.90361,-60.43406,-60.43406,0.90361,"Ipê","Handroanthus spp","Handroanthus","mad506",NA,"Bignoniaceae",0,"Rorainópolis","Roraima",NA,0
-9.17198990988674,-63.0075094496542,-63.0075094496542,-9.17198990988674,"Ipê Amarelo","Handroanthus spp","Handroanthus","mad635",NA,"Bignoniaceae",0,"Itapuã do Oeste","Rondônia","FLORESTA NACIONAL DO JAMARI",0
-8.631717532,-70.145276,-70.145276,-8.631717532,"Ipê Amarelo","Handroanthus spp","Handroanthus","mad666",NA,"Bignoniaceae",0,"Feijó","Acre",NA,0
-8.650403507,-70.15039396,-70.15039396,-8.650403507,"Ipê Roxo","Handroanthus spp","Handroanthus","mad667",NA,"Bignoniaceae",0,"Feijó","Acre",NA,0
-8.646363505,-70.14531998,-70.14531998,-8.646363505,"Ipê Amarelo","Handroanthus spp","Handroanthus","mad668",NA,"Bignoniaceae",0,"Feijó","Acre",NA,0
-8.653700485,-70.137275,-70.137275,-8.653700485,"Ipê Roxo","Handroanthus spp","Handroanthus","mad669",NA,"Bignoniaceae",0,"Feijó","Acre",NA,0
-8.632501533,-70.14158401,-70.14158401,-8.632501533,"Ipê Amarelo","Handroanthus spp","Handroanthus","mad676",NA,"Bignoniaceae",0,"Feijó","Acre",NA,0
-8.649269519,-70.15778494,-70.15778494,-8.649269519,"Ipê Amarelo","Handroanthus spp","Handroanthus","mad683",NA,"Bignoniaceae",0,"Feijó","Acre",NA,0
-2.97351,-53.871,-53.871,-2.97351,"Ipê","Handroanthus spp","Handroanthus","MAD775","ZMF 481","Bignoniaceae",0,"Uruará","Pará",NA,0
-9.8519,-62.7478,-62.7478,-9.8519,"Ipê","Handroanthus spp","Handroanthus","MAD800","ZMG 0121","Bignoniaceae",0,"Ariquemes","Rondônia",NA,0
-8.48444667333509,-69.035678855051,-69.035678855051,-8.48444667333509,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD843","ZMF 676","Bignoniaceae",0,"Pauini","Amazonas",NA,0
-8.50166000348855,-69.0311099960022,-69.0311099960022,-8.50166000348855,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD856","ZMF 741","Bignoniaceae",0,"Pauini","Amazonas",NA,0
-8.49078399570606,-69.0897999966278,-69.0897999966278,-8.49078399570606,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD857","ZMF 746","Bignoniaceae",0,"Pauini","Amazonas",NA,0
-8.48659599846423,-69.0284140010811,-69.0284140010811,-8.48659599846423,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD858","ZMF 751","Bignoniaceae",0,"Pauini","Amazonas",NA,0
-8.48064100142757,-69.0238260003551,-69.0238260003551,-8.48064100142757,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD872","ZMF 821","Bignoniaceae",0,"Pauini","Amazonas",NA,0
-8.47590899998488,-69.0225409987293,-69.0225409987293,-8.47590899998488,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD873","ZMF 826","Bignoniaceae",0,"Pauini","Amazonas",NA,0
-9.36474399906685,-63.0831990036809,-63.0831990036809,-9.36474399906685,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD904","ZMF981","Bignoniaceae",0,"Itapuã do Oeste","Rondônia","Flona do Jamari",0
-9.36707899825648,-63.0819770026707,-63.0819770026707,-9.36707899825648,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD910","ZMF1006","Bignoniaceae",0,"Itapuã do Oeste","Rondônia","Flona do Jamari",0
-9.36665000074347,-63.0818899995576,-63.0818899995576,-9.36665000074347,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD911","ZMF1011","Bignoniaceae",0,"Itapuã do Oeste","Rondônia","Flona do Jamari",0
-9.38509999983732,-63.0829449979383,-63.0829449979383,-9.38509999983732,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD912","ZMF1016","Bignoniaceae",0,"Itapuã do Oeste","Rondônia","Flona do Jamari",0
1.099,-51.9096111111111,-51.9096111111111,1.099,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD949","ZMF1231","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
1.09986111111111,-51.9085277777778,-51.9085277777778,1.09986111111111,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD950","ZMF1232","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
1.09875,-51.9105,-51.9105,1.09875,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD953","ZMF1235","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
1.09927777777778,-51.9082777777778,-51.9082777777778,1.09927777777778,"Ipê Amarelo","Handroanthus spp","Handroanthus","MAD954","ZMF1236","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
1.09616666666667,-51.93705,-51.93705,1.09616666666667,"Ipê Roxo","Handroanthus spp","Handroanthus","MAD959","ZMF1249","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
1.07694444444444,-51.9651111111111,-51.9651111111111,1.07694444444444,"Ipê Roxo","Handroanthus spp","Handroanthus","MAD965","ZMF1259","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
1.07741666666667,-51.9651111111111,-51.9651111111111,1.07741666666667,"Ipê Roxo","Handroanthus spp","Handroanthus","MAD966","ZMF1260","Bignoniaceae",75,"Ferreira Gomes","Amapá","Flona de Amapá",0
