lon;lat
-46,611447;-23,48877
-49,472778;-24,976111
-49,236389;-25,442222
-45,863242;-22,832751
-49,636398;-24,224686
-54,667778;-20,456667
-44,848693;-21,339602
-52,472183;-31,421206
-52,542432;-31,582105
-49,336299;-27,808095
-51,467476;-27,160236
-44,962072;-23,202768
-43,826568;-19,904555
-44,197486;-19,869844
-43,879536;-19,923413
-43,998936;-19,862102
-40,814531;-5,087558
-40,834891;-5,130059
-53,626048;-29,74597
-49,0443;-28,204217
-42,992;-22,536
-43,132;-22,403
-47,86;-15,767
-53,812857;-25,676237
-36,009919;-7,386532
-70,063333;-8,281667
-70,077222;-8,284722
-70,085833;-8,295556
-39,438333;-16,512222
-53,901896;-27,317831
-51,024768;-27,549569
-51,006943;-27,571355
-43,926587;-19,524394
-41,019849;-20,56613
-44,359;-22,73
-52,29;-27,18
-51,006111;-6,623611
-51,006111;-6,623611
-48,53611;-25,5925
-44,218333;-20,125833
-48,899639;-27,198785
-38,232859;-7,073406
-45,743286;-22,268438
-48,991566;-27,1661
-40,435244;-19,904458
-49,013484;-26,856115
-40,770255;-19,972292
-42,707025;-22,461208
-44,241944;-15,125
-48,408555;-27,546848
-48,72017;-27,166319
-40,293611;-20,301667
-48,981268;-26,247665
-64,234722;-11,919167
-53,235694;-23,271611
-52,46675;-24,453417
-52,46675;-24,453417
-46,597616;-20,212596
-51,125651;-29,978361
-59,80428;-3,061099
-52,38125;-24,220667
-47,449493;-23,507299
-49,154432;-25,295553
-42,749444;-22,902222
-46,457778;-21,82
-54,460706;-25,443039
-42,77227;-22,401316
-49,235232;-25,474723
-43,121331;-22,9826
-51,869377;-23,318582
-49,234453;-25,442674
-53,228333;-23,286889
-52,482778;-24,56175
-52,35475;-24,617167
-48,296667;-21,246111
-52,482778;-24,56175
-49,409167;-27,722222
-54,574869;-25,477654
-50,29816;-26,312475
-48,825384;-26,250774
-51,502796;-23,523531
-52,363722;-29,790612
-43,582815;-19,547593
-52,693354;-31,764249
-35,175363;-7,074678
-38,675114;-4,36902
-47,814963;-15,702921
-48,579444;-25,8225
-37,530056;-8,842944
-54,495943;-25,621531
-50,299054;-29,873203
-50,484609;-26,121172
-49,236389;-25,442222
-49,647231;-29,03151
-46,638;-23,057
-46,649491;-23,052785
-42,175491;-22,545222
-45,936611;-20,4845
-42,475383;-11,367883
-46,641;-23,057
-46,638;-23,057
-44,575204;-18,685294
-43,196944;-22,485
-46,79;-16,282222
-57,694027;-19,227033
-57,43112;-19,349718
-48,9794;-27,11242
-49,395954;-26,962262
-49,319074;-25,214903
-49,91474;-25,443608
-48,583585;-27,490837
-43,170917;-22,455054
-49,275455;-25,301732
-46,613748;-23,597984
-49,146026;-26,632989
-47,866977;-15,741728
-49,298858;-26,636508
-47,606507;-23,437375
-45,531;-20,313
-48,619;-26,482
-43,064485;-22,95136
-52,44705;-26,429116
-52,41135;-26,437495
-46,483475;-22,685103
-51,93575;-23,822444
-51,935556;-23,822222
-63,3975;-12,266944
-43,077679;-22,820026
-43,973056;-19,875833
-54,927778;-3,05
-54,927778;-3,05
-48,698195;-26,889173
-41,806944;-17,509722
-42,555005;-11,488708
-41,806944;-17,509722
-43,285555;-22,955
-49,193909;-27,727974
-48,799871;-27,973373
-51,359972;-24,279167
-38,472254;-3,641843
-43,285833;-22,478889
-50,068658;-26,235571
-49,504835;-28,456218
-44,962;-20,184
-49,018;-22,343
-52,536111;-0,08
-38,928302;-3,523973
-51,531755;-29,029185
-51,399534;-29,007658
-52,453967;-26,532686
-48,869524;-27,098256
-48,765186;-26,930822
-44,715;-23,219
-43,683889;-19,813611
-48,950625;-26,335734
-43,075196;-22,407402
-39,372984;-7,393963
-54,575833;-25,543056
-38,576111;-3,741667
-49,192889;-28,53892
-48,70788;-27,571847
-43,025032;-22,585267
-47,798;-21,171
-62,063333;-9,758889
-48,750583;-27,400609
-49,148387;-26,869546
-49,165719;-26,962006
-49,048923;-26,826469
-49,198236;-26,88877
-68,951389;-9,131389
-47,880326;-21,142359
-36,12;-4,68
-69,583333;-9,20185
-68,951389;-9,131389
-54,423464;-25,50768
