lon;lat
-39,411988;-7,332845
-43,013278;-6,725155
-40,499984;-20,673893
-47,687242;-14,130567
-48,486915;-27,679283
-43,033401;-22,957087
-35,792279;-9,516296
-43,590833;-22,811389
-36,02495;-8,36412
-39,758633;-18,73772
-48,637421;-27,765856
-40,906125;-3,806325
-35,155699;-7,952133
-38,471112;-12,897244
-54,667222;-20,456667
-60,912677;-2,592225
-52,664634;-27,093221
-35,002022;-8,168213
-40,547829;-9,324208
-40,677058;-19,814578
-44,04654;-19,903495
-44,04406;-19,905907
-44,043967;-19,907865
-38,922763;-6,237266
-44,044412;-19,908141
-48,821835;-25,127245
-44,044182;-19,907908
-44,041781;-19,911718
-40,603795;-19,93151
-44,04456;-19,905819
-44,0444;-19,90821
-43,960245;-19,834022
-43,997654;-19,883902
-43,998353;-19,883386
-44,043975;-19,90778
-44,011005;-19,85905
-43,962082;-19,831486
-43,962545;-19,832315
-43,99828;-19,883138
-43,997686;-19,883927
-44,04478;-19,906214
-43,998407;-19,883345
-43,96199;-19,8315
-43,960177;-19,834069
-43,998322;-19,88334
-43,962451;-19,832384
-43,962563;-19,831507
-43,962543;-19,831456
-44,044418;-19,9081
-49,916153;-26,388278
-34,875596;-7,114399
-48,467885;-27,634726
-40,702778;-13,402222
-44,3588;-22,730624
-46,289102;-23,503499
-59,153425;-9
-46,54512;-22,941128
-43,304722;-16,62
-44,358915;-22,730552
-38,97151;-12,201869
-70,073611;-8,2925
-70,073611;-8,2925
-70,041944;-8,276667
-70,059444;-8,269167
-70,063889;-8,269722
-49,281944;-26,803333
-44,358732;-22,730576
-53,785945;-29,778951
-50,631944;-6,356667
-54,95575;-2,501899
-52,051886;-24,107078
-52,052018;-24,107235
-40,595547;-19,940462
-44,015069;-19,864107
-43,934483;-19,929123
-40,591192;-19,935795
-43,564162;-22,59825
-43,415187;-22,592405
-43,415187;-22,592405
-43,434962;-22,702488
-43,564162;-22,59825
-36,964097;-5,538067
-54,95503;-2,496345
-38,338978;-7,002835
-61,43022;-1,905085
-47,623222;-22,225574
-59,426667;-8,991389
-44,241944;-15,125
-44,240556;-15,097222
-44,240556;-15,097222
-46,86882;-23,63986
-47,968375;-16,146355
-56,607267;-16,382188
-51,065936;-28,929794
-55,705678;-14,490205
-47,034135;-22,87882
-43,025783;-22,9489
-41,320861;-20,620803
-47,808793;-15,796507
-54,570908;-20,452794
-50,870459;-21,800902
-44,96605;-22,392667
-47,439707;-23,490262
-47,441984;-23,491505
-47,39678;-20,205018
-55,86114;-20,427477
-47,869904;-15,765156
-47,731854;-13,339394
-63,03549;-9,864911
-47,773846;-14,18266
-40,442183;-3,619144
-40,900861;-3,843012
-40,85;-19,483333
-40,943426;-20,40702
-52,325792;-14,685283
-56,114049;-15,57905
-51,937961;-23,405247
-46,529047;-23,644424
-55,77924;-15,365257
-43,455313;-22,90363
-47,948611;-15,976667
-54,746389;-16,371667
-47,836411;-15,874993
-41,070496;-19,502661
-48,714558;-16,190563
-43,471895;-22,777049
-47,880469;-15,765592
-47,598419;-15,462047
-47,598361;-15,461961
-40,875266;-19,872623
-55,710095;-14,484733
-44,627502;-23,338331
-43,68009;-20,308343
-55,129728;-1,841294
-43,893584;-19,945897
-54,477831;-25,613052
-43,927056;-20,230063
-44,962295;-21,227362
-49,00621;-11,7831
-56,735436;-16,619605
-47,401098;-20,53939
-47,773125;-16,112167
-47,46332;-15,472025
-56,681817;-16,499456
-46,528333;-23,169167
-53,234806;-23,274611
-56,271111;-1,609722
-56,6125;-1,698889
-56,636944;-1,714722
-56,265278;-1,603056
-56,624167;-1,719722
-56,605;-1,703611
-48,437222;-22,908639
-56,62405;-16,37997
-38,294722;-7,956643
-42,869964;-20,760252
-59,87266;-3,64768
-56,3045;-19,953849
-56,836486;-17,414173
-56,824645;-17,437531
-53,700504;-29,708357
-40,067413;-19,167648
-44,974312;-21,22218
-56,749037;-16,516437
-44,973923;-21,22217
-56,681878;-18,702642
-53,700504;-29,708357
-53,710871;-29,725614
-46,322328;-23,962719
-46,320269;-23,961264
-48,405788;-27,458846
-47,868245;-15,800345
-51,1362;-30,018517
-47,811;-15,796945
-43,611778;-18,220403
-47,598411;-15,462061
-51,193371;-29,150701
-46,898451;-22,742586
-43,418056;-20,37
-43,418056;-20,37
-51,803605;-29,471942
-56,748806;-16,507911
-46,028527;-3,566668
-56,152548;-19,57782
-50,659722;-25,535555
-50,659722;-25,534722
-50,656667;-25,532778
-50,659444;-25,534722
-50,659444;-25,535278
-50,66;-25,534722
-56,693348;-16,4829
-35,201139;-5,837686
-42,786944;-5,0875
-35,292896;-7,941511
-51,964928;-22,49333
-48,823551;-22,616392
-43,714444;-20,101944
-48,218336;-7,209269
-39,472775;-3,318844
-35,433586;-7,259867
-35,535402;-7,320709
-40,029444;-18,993333
-50,709722;-27,439444
-51,975278;1,085278
